CSA,ECSA
2.2970006507231158e-14,1.9504172407534163e-45
1.0460486217616014e-13,6.793655018997638e-49
1.294654114492724e-13,1.7018753665711834e-50
9.714461622851258e-18,1.789343433703269e-41
2.6334217961323354e-16,6.064221594472544e-45
8.161916221811927e-13,4.14918632002108e-45
2.0989770332539614e-09,1.7467042935388237e-47
1.6933973156970006e-11,4.3259900506768954e-47
5.803164466811265e-16,2.8122045053243402e-42
9.178903127154689e-13,4.8795645596016266e-45
1.925856206812231e-16,2.52511122111596e-48
5.0138253434498266e-11,7.560445034297114e-44
5.574268574912504e-12,1.2026627030525894e-43
8.479158925970207e-14,7.217985329428216e-50
5.4151412974740836e-15,3.4684871275098524e-49
1.7471349865253828e-15,1.942957611139443e-46
3.615981337328625e-19,7.172711827114786e-43
8.359329162759543e-16,6.372351605618303e-49
1.3270354890479614e-17,2.1015043163323155e-45
1.5847147771882835e-14,2.5124414973176913e-44
1.5810006703518768e-16,7.503540105400208e-42
1.4196690706821497e-12,1.1647410333898442e-46
3.712820192403921e-12,4.393114238625645e-45
6.155451877716505e-15,1.3033197695024718e-46
4.4933269150587484e-14,1.4026040664206153e-49
1.8473296154192805e-12,4.783045449853075e-48
3.0138717747099097e-15,3.371860507721503e-50
3.41144766715983e-20,7.788350745215812e-42
2.495965834019039e-12,2.844531496536295e-51
7.606601497227037e-14,2.3227642243512423e-51
